PDR Number,Date Received,Type,Item Requested,Person Received,Date due,Date Complete,Request Source
P2013-10,1/2/2013,PDR,12-167022,EMAIL,5/3/2013,5/3/2013,Media
P2013-11,1/2/2013,PDR,13-1091,EMAIL,2/6/2013,2/6/2013,Media
P2013-12,1/2/2013,PDR,13-1091,EMAIL,2/6/2013,2/6/2013,Media
P2013-13,1/2/2013,PDR,2005 FILM,MAIL,1/9/2013,1/7/2013,Inmate
P2013-14,1/2/2013,PDR,BAC CAMERA CONFIRMATION,MAIL,1/9/2013,1/4/2013,Attorney
P2013-15,1/2/2013,PDR,"12-394562,12-424389,11-324166",COUNTER,1/9/2013,1/6/2013,Attorney
P2013-16,1/2/2013,PDR,13-193,COUNTER,1/23/2013,1/12/2013,Individual
P2013-17,1/2/2013,PDR,"WEST PCT BAC, SURROUNDING & HOLDING CELL VIDEO",EMAIL,1/30/2013,1/15/2013,Attorney
P2013-18,1/2/2013,PDR,09-445263,EMAIL,2/25/2013,2/23/2013,Attorney
P2013-19,1/2/2013,PDR,12-443596,EMAIL,1/9/2013,1/8/2013,Individual
P2013-20,1/2/2013,PDR,12-293277,FAX,1/9/2013,1/9/2013,Attorney
P2013-21,1/2/2013,PDR,12-358694,EMAIL,1/9/2013,1/6/2013,Attorney
P2013-25,1/2/2013,PDR,ALL REPORTS REGARDING,EMAIL,1/9/2013,1/7/2013,Individual
P2013-9,1/2/2013,PDR,12-445521,EMAIL,1/9/2013,1/9/2013,Individual
P2013-1,1/3/2013,PDR,SERIAL KILLER CONFESSIONS,EMAIL,2/1/2013,1/25/2013,Individual
P2013-2,1/3/2013,PDR,691YUE.WA,EMAIL,1/31/2013,2/8/2013,Individual
P2013-22,1/3/2013,PDR,"REPORTS, CFS, ETC",EMAIL,3/22/2013,3/19/2013,Attorney
P2013-23,1/3/2013,PDR,12-427290,MAIL,1/10/2013,1/8/2013,Individual
P2013-24,1/3/2013,PDR,12-438414,EMAIL,1/10/2013,1/8/2013,Individual
P2013-29,1/3/2013,PDR,12-429469,MAIL,2/21/2013,1/15/2013,Attorney
P2013-3,1/3/2013,PDR,ARREST REPORTS,EMAIL,1/10/2013,1/8/2013,Individual
P2013-4,1/3/2013,PDR,12-446030,COUNTER,1/10/2013,1/10/2013,Individual
P2013-5,1/3/2013,PDR,12-435724,MAIL,2/21/2013,1/31/2013,Attorney
P2013-6,1/3/2013,PDR,12-275687,EMAIL,1/10/2013,1/9/2013,Attorney
P2013-7,1/3/2013,PDR,12-159049,MAIL,1/10/2013,1/8/2013,Individual
P2013-8,1/3/2013,PDR,NSI INFO,EMAIL,6/1/2013,5/23/2013,Individual
P2013-26,1/4/2013,PDR,11-174547,EMAIL,2/22/2013,1/22/2013,Individual
P2013-27,1/4/2013,PDR,BAC ROOM VIDEO,EMAIL,1/18/2013,1/15/2013,Attorney
P2013-28,1/4/2013,PDR,BAC ROOM VIDEO,EMAIL,1/18/2013,1/15/2013,Attorney
P2013-30,1/4/2013,PDR,11-317344 & 11-314369,EMAIL,1/11/2013,1/9/2013,Attorney
P2013-31,1/4/2013,PDR,INCIDENT REPORT,EMAIL,1/11/2013,1/7/2013,Attorney
P2013-32,1/4/2013,PDR,BAC/SURROUNDING AREA VIDEO,MAIL,1/18/2013,1/15/2013,Attorney
P2013-33,1/4/2013,PDR,COMPLETE OPA FILE,COUNTER,3/11/2013,2/23/2013,Individual
P2013-34,1/4/2013,PDR,12-26522,MAIL,1/11/2013,1/9/2013,Individual
P2013-38,1/4/2013,PDR,12-377395,EMAIL,1/11/2013,1/9/2013,Attorney
P2013-39,1/4/2013,PDR,12-403023,EMAIL,1/11/2013,1/9/2013,Individual
P2013-35,1/7/2013,PDR,ACCIDENT FROM 5/17/12,FAX,1/14/2013,1/8/2013,Attorney
P2013-36,1/7/2013,PDR,12-399618,FAX,1/14/2013,1/10/2013,Individual
P2013-37,1/7/2013,PDR,D PERMIT PLACARD IMAGE,EMAIL,1/14/2013,1/14/2013,Individual
P2013-40,1/7/2013,PDR,12-369908,EMAIL,1/14/2013,1/10/2013,Individual
P2013-41,1/7/2013,PDR,ALL REPORTS REGARDING,EMAIL,1/14/2013,1/12/2013,Attorney
P2013-42,1/7/2013,PDR,12-378934,EMAIL,1/14/2013,1/10/2013,Individual
P2013-43,1/7/2013,PDR,"98-32720, 99-182715",EMAIL,1/14/2013,1/10/2013,Individual
P2013-44,1/7/2013,PDR,12-377632,EMAIL,1/14/2013,1/12/2013,Individual
P2013-45,1/7/2013,PDR,12-199749,COUNTER,1/14/2013,1/10/2013,Attorney
P2013-46,1/7/2013,PDR,INCIDENT REPORT,FAX,1/14/2013,1/7/2013,Media
P2013-47,1/7/2013,PDR,12-80580,EMAIL,1/28/2013,1/15/2013,Attorney
P2013-48,1/7/2013,PDR,12-149021,FAX,2/25/2013,1/22/2013,Attorney
P2013-49,1/7/2013,PDR,03-541936,EMAIL,1/14/2013,1/9/2013,Attorney
P2013-50,1/7/2013,PDR,12-377632,EMAIL,1/14/2013,1/12/2013,Individual
P2013-57,1/7/2013,PDR,911 CALL,EMAIL,1/22/2013,1/20/2013,Individual
P2013-58,1/7/2013,PDR,13-2339,COUNTER,1/28/2013,1/21/2013,Individual
P2013-59,1/7/2013,PDR,12-423413,COUNTER,1/14/2013,1/10/2013,Individual
P2013-60,1/7/2013,PDR,13-929,EMAIL,2/25/2013,2/20/2013,Individual
P2013-51,1/8/2013,PDR,12-427857,MAIL,1/15/2013,1/12/2013,Individual
P2013-52,1/8/2013,PDR,12-160788,MAIL,2/26/2013,1/29/2013,Attorney
P2013-53,1/8/2013,PDR,12-416837,FAX,1/15/2013,1/12/2013,Attorney
P2013-54,1/8/2013,PDR,CFS,EMAIL,1/15/2013,1/14/2013,Individual
P2013-55,1/8/2013,PDR,13-319,COUNTER,3/13/2013,2/24/2013,Individual
P2013-56,1/8/2013,PDR,12-331332,EMAIL,2/26/2013,2/22/2013,Attorney
P2013-63,1/8/2013,PDR,12-111885,EMAIL,1/15/2013,1/11/2013,Individual
P2013-64,1/8/2013,PDR,11-413546,EMAIL,1/15/2013,1/11/2013,Individual
P2013-65,1/8/2013,PDR,INCIDENT RPTS & CFS,EMAIL,1/15/2013,1/15/2013,Attorney
P2013-66,1/8/2013,PDR,INCIDENT RPTS & CFS,EMAIL,1/15/2013,1/15/2013,Attorney
P2013-67,1/8/2013,PDR,12-391188,EMAIL,1/15/2013,1/12/2013,Individual
P2013-68,1/8/2013,PDR,12-348700,EMAIL,1/15/2013,1/11/2013,Individual
P2013-69,1/8/2013,PDR,ALL REPORTS & CONTACTS,EMAIL,1/15/2013,1/15/2013,Attorney
P2013-70,1/8/2013,PDR,09-230050,EMAIL,1/15/2013,1/11/2013,Attorney
P2013-71,1/8/2013,PDR,09-193075,EMAIL,1/15/2013,1/11/2013,Attorney
P2013-72,1/8/2013,PDR,98-318851,COUNTER,1/15/2013,1/10/2013,Individual
P2013-73,1/8/2013,PDR,"97-91536, 03-412924",COUNTER,1/15/2013,1/11/2013,Individual
P2013-74,1/8/2013,PDR,12-428648,EMAIL,3/5/2013,2/25/2013,Attorney
P2013-75,1/8/2013,PDR,12-398820,EMAIL,2/26/2013,2/22/2013,Individual
P2013-76,1/8/2013,PDR,12-336742,EMAIL,2/26/2013,2/22/2013,Attorney
P2013-61,1/9/2013,PDR,12-433940,FAX,1/16/2013,1/12/2013,Attorney
P2013-62,1/9/2013,PDR,13-8449,EMAIL,1/16/2013,1/9/2013,Media
P2013-77,1/9/2013,PDR,BAC VIDEO,EMAIL,1/16/2013,1/15/2013,Attorney
P2013-78,1/9/2013,PDR,89-512903,EMAIL,1/16/2013,1/9/2013,Individual
P2013-79,1/9/2013,PDR,BAC VIDEO,EMAIL,1/16/2013,1/15/2013,Attorney
P2013-80,1/9/2013,PDR,10-84398,FAX,1/16/2013,1/9/2013,Attorney
